,x,y,elevation,extensions,encountered,shot,hit,recovered,code
249,4.30478313,-77.18797887,446.5,0.41440.4963.15,NA,NA,NA,NA,1
250,4.30476013,-77.18800187,447,0.67440.6963.13,NA,NA,NA,NA,1
251,4.30471313,-77.18804687,447.2,0.72442.5962.94,NA,NA,NA,NA,1
252,4.30466213,-77.18808087,447.3,0.62444.6962.71,NA,NA,NA,NA,1
253,4.30459013,-77.18808387,447.6,0.72446.10962.46,NA,NA,NA,NA,1
254,4.30451513,-77.18808387,448.7,0.10448.4962.31,NA,NA,NA,NA,1
255,4.30448813,-77.18808087,449.9,0.31448.4962.31,NA,NA,NA,NA,1
256,4.30447713,-77.18808887,450.9,0.77449.6962.19,NA,NA,NA,NA,1
257,4.30445013,-77.18811087,452.6,0.00450.9962.05,NA,NA,NA,NA,1
258,4.30443713,-77.18812187,453.2,0.15450.6962.09,NA,NA,NA,NA,1
259,4.30442713,-77.18812687,454.1,0.21450.10962.06,NA,NA,NA,NA,1
260,4.30437313,-77.18819887,455.1,1.03452.6961.89,NA,NA,NA,NA,1
261,4.30433013,-77.18827187,456,0.57452.3961.92,NA,NA,NA,NA,1
262,4.30430313,-77.18833387,456.2,0.67452.8961.87,NA,NA,NA,NA,1
263,4.30422213,-77.18839087,456.5,0.57453.6961.78,NA,NA,NA,NA,1
264,4.30418513,-77.18845387,457.2,0.10454.3961.69,NA,NA,NA,NA,1
265,4.30418013,-77.18846687,457.5,0.46454.1961.71,NA,NA,NA,NA,1
266,4.30413513,-77.18854687,458.4,0.67455.8961.51,NA,NA,NA,NA,1
267,4.30411813,-77.18858887,459.4,0.10456.1961.48,NA,NA,NA,NA,1
268,4.30412213,-77.18860387,460.5,0.05456.7961.42,NA,NA,NA,NA,1
269,4.30411813,-77.18860687,460.5,0.10456.7961.42,NA,NA,NA,NA,1
270,4.30411513,-77.18861187,460.5,0.21456.3961.44,NA,NA,NA,NA,1
271,4.30410513,-77.18862087,460.6,0.46455.8961.50,NA,NA,NA,NA,1
272,4.30406013,-77.18871587,461.5,0.77457.6961.31,NA,NA,NA,NA,1
273,4.30401513,-77.18878887,462.7,0.82458.0961.26,NA,NA,NA,NA,1
274,4.30399813,-77.18882687,464.1,0.05458.4961.20,NA,NA,NA,NA,1
275,4.30395713,-77.18887687,465.1,0.82460.4960.99,NA,NA,NA,NA,1
276,4.30391813,-77.18892187,466.6,0.46462.8960.73,NA,NA,NA,NA,1
277,4.30386313,-77.18898387,468.3,0.41464.2960.57,NA,NA,NA,NA,1
278,4.30386713,-77.18899687,468.9,0.15464.1960.58,NA,NA,NA,NA,1
279,4.30378013,-77.18906187,469.8,0.82466.6960.31,NA,NA,NA,NA,1
280,4.30371713,-77.18909887,470.9,0.51468.9960.05,NA,NA,NA,NA,1
281,4.30365313,-77.18912387,471.6,0.57470.7959.85,NA,NA,NA,NA,1
282,4.30360813,-77.18915887,472.9,0.41473.7959.52,NA,NA,NA,NA,1
283,4.30358713,-77.18919187,473.8,0.10473.10959.47,NA,NA,NA,NA,1
284,4.30357513,-77.18919587,474.3,0.00473.5959.52,NA,NA,NA,NA,1
285,4.30356813,-77.18919687,474.3,0.00474.1959.44,NA,NA,NA,NA,1
286,4.30354713,-77.18923187,474.4,0.15473.6959.50,NA,NA,NA,NA,1
287,4.30353713,-77.18923087,474.8,0.10473.6959.48,NA,NA,NA,NA,1
288,4.30353313,-77.18923887,474.8,0.10473.5959.49,NA,NA,NA,NA,1
289,4.30353313,-77.18924187,474.8,0.05473.2959.50,NA,NA,NA,NA,1
290,4.30351513,-77.18925187,475,0.41474.8959.33,NA,NA,NA,NA,1
291,4.30349013,-77.18928087,475.4,0.31475.6959.23,NA,NA,NA,NA,1
292,4.30345013,-77.18935387,475.9,0.41476.3959.16,NA,NA,NA,NA,1
293,4.30342513,-77.18940387,476.5,0.31477.4959.02,NA,NA,NA,NA,1
294,4.30340513,-77.18944587,477,0.31478.6958.88,NA,NA,NA,NA,1
295,4.30338713,-77.18946087,477.2,0.10478.7958.85,NA,NA,NA,NA,1
296,4.30337713,-77.18947187,477.2,0.46478.6958.84,NA,NA,NA,NA,1
297,4.30332813,-77.18952687,477.6,0.62480.4958.63,NA,NA,NA,NA,1
298,4.30333713,-77.18959887,477.9,0.31482.9958.36,NA,NA,NA,NA,1
299,4.30334013,-77.18967387,478.4,0.36484.5958.17,NA,NA,NA,NA,1
300,4.30334313,-77.18972087,478.7,0.31486.5957.94,NA,NA,NA,NA,1
301,4.30332713,-77.18977887,479.3,0.51488.2957.74,NA,NA,NA,NA,1
302,4.30333013,-77.18987187,479.9,0.62490.5957.50,NA,NA,NA,NA,1
303,4.30332013,-77.18991187,480.6,0.31491.9957.33,NA,NA,NA,NA,1
304,4.30331013,-77.18993387,480.8,0.15491.7957.33,NA,NA,NA,NA,1
305,4.30332213,-77.18994587,480.9,0.26491.4957.35,NA,NA,NA,NA,1
306,4.30331313,-77.19001587,481.3,0.77492.9957.19,NA,NA,NA,NA,1
307,4.30327213,-77.19007387,481.2,0.46494.3957.02,NA,NA,NA,NA,1
308,4.30321813,-77.19013187,481.4,0.72496.6956.77,NA,NA,NA,NA,1
309,4.30324813,-77.19023887,481.8,0.46497.10956.61,NA,NA,NA,NA,1
310,4.30321213,-77.19027187,482.8,0.10498.5956.55,NA,NA,NA,NA,1
311,4.30320313,-77.19026687,482.9,0.10498.1956.58,NA,NA,NA,NA,1
312,4.30319713,-77.19025887,482.9,0.10498.6956.53,NA,NA,NA,NA,1
313,4.30315313,-77.19028387,483.1,0.51499.9956.37,NA,NA,NA,NA,1
314,4.30313213,-77.19031087,483.3,0.21501.0956.23,NA,NA,NA,NA,1
315,4.30312513,-77.19031387,483.4,0.57501.0956.23,NA,NA,NA,NA,1
